交易日期,R_M,R_f,R_M_minus_R_f,SMB,HML,MOM
2020-01-02,,7.936507936507937e-05,,,,
2020-01-03,0.0,7.936507936507937e-05,-7.936507936507937e-05,-0.003972709931186286,-0.0009453907755213545,
2020-01-06,-0.01280081925243215,7.936507936507937e-05,-0.01288018433179723,0.009389236690270019,-0.001973128260558692,
2020-01-07,-0.003112033195020847,7.936507936507937e-05,-0.003191398274385926,0.0023841644742476405,0.0007383581127176314,
2020-01-08,-0.004682622268470271,7.936507936507937e-05,-0.0047619873478353504,0.005652452970886794,-0.004038246288008583,
2020-01-09,0.013591217982226844,7.936507936507937e-05,0.013511852902861764,-0.0034153915897777313,-0.0032323633943335357,
2020-01-10,0.0036101083032491488,7.936507936507937e-05,0.0035307432238840695,-0.00222622461122006,0.00040505043814557115,
2020-01-13,0.007194244604316502,7.936507936507937e-05,0.007114879524951423,-0.004517719529375904,0.0010404971126525058,
2020-01-14,0.006122448979591688,7.936507936507937e-05,0.006043083900226609,0.001066759402925558,-0.0024877561072883646,
2020-01-15,-0.010141987829614618,7.936507936507937e-05,-0.010221352908979698,0.0009688149056122698,0.00028004434056524486,
2020-01-16,-0.0030737704918032405,7.936507936507937e-05,-0.0031531355711683197,0.0022252765308057817,-0.0015304744028282187,
2020-01-17,0.0,7.936507936507937e-05,-7.936507936507937e-05,-0.0029446758540028145,-0.0001307748404726463,
2020-01-20,0.004110996916752319,7.936507936507937e-05,0.004031631837387239,0.0030773929237895696,-0.00046302367916917914,
2020-01-30,-0.056806550665301936,7.936507936507937e-05,-0.05688591574466702,0.0160311890487849,-0.007664563064083474,
2020-01-31,-0.02387411828540431,7.936507936507937e-05,-0.02395348336476939,0.0004500811746584992,-0.00025879997563952196,
2020-02-03,-0.010005558643691015,7.936507936507937e-05,-0.010084923723056095,-0.001124358144359806,-0.008350222261767595,
2020-02-04,0.01740595171252113,7.936507936507937e-05,0.01732658663315605,-0.004606958640712204,0.0026951932873459563,
2020-02-05,0.0027593818984548157,7.936507936507937e-05,0.0026800168190897365,0.0014069605035128968,-0.0022402821625407262,
2020-02-06,0.015960374243258135,7.936507936507937e-05,0.015881009163893057,-0.007188258040506127,-0.0010272980556717323,
2020-02-07,-0.011917659804983716,7.936507936507937e-05,-0.011997024884348796,0.0033094830333060066,-0.0016561248110790704,
2020-02-10,-0.002192982456140413,7.936507936507937e-05,-0.0022723475355054925,-0.00028250000166564417,-0.001859056177730032,
2020-02-11,0.008241758241758212,7.936507936507937e-05,0.008162393162393132,0.0026895386171650534,-0.0036199422899854785,
2020-02-12,0.009809264305177257,7.936507936507937e-05,0.009729899225812176,0.0015906700327303607,-0.0024037755805046464,
2020-02-13,0.0016189962223420729,7.936507936507937e-05,0.0015396311429769936,-0.005419999690637702,-0.00023288121237106734,
2020-02-14,0.001616379310344973,7.936507936507937e-05,0.0015370142309798938,0.002515439299436058,-0.0029363892473255513,
2020-02-17,-0.006993006993007089,7.936507936507937e-05,-0.0070723720723721685,0.000570844677366623,-0.0016165947197014678,
2020-02-18,-0.013542795232936111,7.936507936507937e-05,-0.013622160312301191,0.0016001235788914653,0.004193827475312864,
2020-02-19,0.011532125205930832,7.936507936507937e-05,0.011452760126565752,-0.0050839728036813255,-1.3536479974040304e-05,
2020-02-20,-0.004343105320303908,7.936507936507937e-05,-0.0044224703996689875,0.006876081493640001,-0.0008746114375231023,
2020-02-21,-0.004907306434024039,7.936507936507937e-05,-0.004986671513389118,0.004692801183992268,0.000753808995359775,
2020-02-24,-0.012602739726027434,7.936507936507937e-05,-0.012682104805392514,0.006020515307392453,-0.00012678380107876072,
2020-02-25,0.002774694783573839,7.936507936507937e-05,0.0026953297042087597,-0.00355772037410023,-0.001494785413640984,
2020-02-26,-0.009961261759822815,7.936507936507937e-05,-0.010040626839187895,0.004004762756750172,0.004267391032171821,
2020-02-27,-0.008943543879262106,7.936507936507937e-05,-0.009022908958627186,-0.0031992701647937678,0.0012882406572567347,
2020-03-02,-0.014664410603496991,7.936507936507937e-05,-0.014743775682862071,0.00382336223915619,0.0006254145128209718,
2020-03-03,0.01431024613623344,7.936507936507937e-05,0.01423088105686836,-0.005582701090309397,-0.0008315570967757473,
2020-03-04,0.006772009029345494,7.936507936507937e-05,0.0066926439499804145,-0.011505643744582416,0.0007968285111098293,
2020-03-05,0.011210762331838486,7.936507936507937e-05,0.011131397252473406,-1.8780748619389928e-05,-0.0033031901020221417,
